code,support,groups_hit,fp_count,precision,recall,f1
I50,114,107,96,0.5270935960591133,0.9385964912280702,0.6750788643533123
I60,0,0,0,0.0,0.0,0.0
I62,0,0,0,0.0,0.0,0.0
I64,33,27,33,0.45,0.8181818181818182,0.5806451612903226
I65,8,0,2,0.0,0.0,0.0
I71,9,9,3,0.75,1.0,0.8571428571428571
I72,9,9,3,0.75,1.0,0.8571428571428571
I74,0,0,0,0.0,0.0,0.0
I79,21,17,23,0.425,0.8095238095238095,0.5573770491803278
I80,2,0,0,0.0,0.0,0.0
I95,2,0,0,0.0,0.0,0.0
J22,11,11,20,0.3548387096774194,1.0,0.5238095238095238
J44,35,30,39,0.43478260869565216,0.8571428571428571,0.5769230769230769
J45,5,1,0,1.0,0.2,0.33333333333333337
J81,39,34,44,0.4358974358974359,0.8717948717948718,0.5811965811965812
J84,2,0,0,0.0,0.0,0.0
J96,2,1,1,0.5,0.5,0.5
K70,2,0,0,0.0,0.0,0.0
K71,2,0,0,0.0,0.0,0.0
K75,2,0,0,0.0,0.0,0.0
K76,2,0,0,0.0,0.0,0.0
K77,2,0,0,0.0,0.0,0.0
K92,22,3,4,0.42857142857142855,0.13636363636363635,0.20689655172413793
L74,17,7,31,0.18421052631578946,0.4117647058823529,0.2545454545454545
L75,17,7,14,0.3333333333333333,0.4117647058823529,0.36842105263157887
M05,4,0,0,0.0,0.0,0.0
M25,2,1,0,1.0,0.5,0.6666666666666666
M30-M36,3,0,0,0.0,0.0,0.0
M31,0,0,0,0.0,0.0,0.0
M32,1,0,0,0.0,0.0,0.0
M34,1,0,0,0.0,0.0,0.0
M35,0,0,0,0.0,0.0,0.0
M54,22,4,14,0.2222222222222222,0.18181818181818182,0.19999999999999998
M96,5,1,0,1.0,0.2,0.33333333333333337
N02,0,0,0,0.0,0.0,0.0
N17,8,4,12,0.25,0.5,0.3333333333333333
N18,52,46,68,0.40350877192982454,0.8846153846153846,0.5542168674698795
N93,0,0,0,0.0,0.0,0.0
Q24,9,6,5,0.5454545454545454,0.6666666666666666,0.6
R00,53,48,54,0.47058823529411764,0.9056603773584906,0.6193548387096774
R04,0,0,0,0.0,0.0,0.0
R05,7,2,10,0.16666666666666666,0.2857142857142857,0.2105263157894737
R06,152,147,87,0.6282051282051282,0.9671052631578947,0.7616580310880828
R07,189,184,118,0.609271523178808,0.9735449735449735,0.7494908350305498
R09,2,1,0,1.0,0.5,0.6666666666666666
R10,18,2,2,0.5,0.1111111111111111,0.1818181818181818
R11,11,1,7,0.125,0.09090909090909091,0.10526315789473685
R18,3,0,0,0.0,0.0,0.0
R20,4,0,0,0.0,0.0,0.0
R23,0,0,0,0.0,0.0,0.0
R31,0,0,0,0.0,0.0,0.0
R40,3,0,0,0.0,0.0,0.0
R41,3,0,0,0.0,0.0,0.0
R42,30,21,58,0.26582278481012656,0.7,0.38532110091743116
R50,10,4,15,0.21052631578947367,0.4,0.27586206896551724
R51,2,1,0,1.0,0.5,0.6666666666666666
R53,40,19,62,0.2345679012345679,0.475,0.31404958677685946
R55,35,32,42,0.43243243243243246,0.9142857142857143,0.5871559633027523
R57,0,0,0,0.0,0.0,0.0
R60,37,31,66,0.31958762886597936,0.8378378378378378,0.46268656716417905
R61,17,7,24,0.22580645161290322,0.4117647058823529,0.29166666666666663
T82,3,1,4,0.2,0.3333333333333333,0.25
T83,0,0,0,0.0,0.0,0.0
T84,2,0,0,0.0,0.0,0.0
T88,1,0,0,0.0,0.0,0.0
Y83,5,1,2,0.3333333333333333,0.2,0.25
Y84,162,158,97,0.6196078431372549,0.9753086419753086,0.7577937649880098
Z46,5,1,0,1.0,0.2,0.33333333333333337
Z47,5,1,0,1.0,0.2,0.33333333333333337
Z72,0,0,0,0.0,0.0,0.0
Z82,20,7,27,0.20588235294117646,0.35,0.25925925925925924
Z95,238,232,168,0.58,0.9747899159663865,0.7272727272727273
Z96,5,1,1,0.5,0.2,0.28571428571428575
